epochs,time,loss,acc
cifar10-3 may
10,204.3160423,1.3850483894348145,0.5144000053405762
20,208.6415924,1.2059857845306396,0.5710999965667725
30,235.189705,1.1190568208694458,0.6069999933242798
40,198.16963379999993,1.0381358861923218,0.6428999900817871
50,197.15425679999998,1.0095916986465454,0.6621000170707703
60,194.12048660000005,1.0104291439056396,0.6765000224113464
70,193.9893611,1.0335115194320679,0.6748999953269958
80,194.70640600000002,1.1580368280410767,0.6710000038146973
90,196.1780166000001,1.231743335723877,0.6771000027656555
100,191.86809629999993,1.3213047981262207,0.6764000058174133
mnist
10,154.4702468,0.14300890266895294,0.9575999975204468
20,149.90092380000002,0.07609657943248749,0.9761999845504761
30,150.87541750000003,0.05631755292415619,0.9811999797821045
40,153.32781479999994,0.046488478779792786,0.9850000143051147
50,149.5471668,0.047446414828300476,0.984000027179718
60,149.10534559999996,0.04026627168059349,0.9871000051498413
70,149.48533989999987,0.0387844443321228,0.9868999719619751
80,152.79509159999998,0.03685048222541809,0.9879999756813049
90,153.78129910000007,0.037594012916088104,0.9879000186920166
100,151.41160719999993,0.036655426025390625,0.9883999824523926
cifar10
10,206.6976384,1.3670275211334229,0.5067999958992004
20,205.04310819999998,1.1689326763153076,0.583899974822998
30,194.30644550000005,1.0751135349273682,0.6240000128746033
40,191.89677870000003,1.0131726264953613,0.6514000296592712
50,192.84556810000004,1.0134025812149048,0.657800018787384
60,191.11696439999992,1.02146577835083,0.6729999780654907
70,264.5049601999999,1.0837135314941406,0.6693999767303467
80,192.58892409999999,1.1259205341339111,0.680400013923645
90,239.35518389999993,1.2498339414596558,0.6779999732971191
100,247.65249960000006,1.3240904808044434,0.6791999936103821
